"Quote with ID %1 is invalid.","Koszyk o ID %1 jest niepoprawny.",module,InPost_InPostPay
"Unable to serialize basket data.","Nie udana próba serializacji danych koszyka.",module,InPost_InPostPay
"Order currency is incorrect. Expected: %1 Received: %2","Niezgodność waluty zamówienia. Oczekiwana: %1 Otrzymana: %2",module,InPost_InPostPay
"Order final Gross value is incorrect. Expected: %1 Received: %2","Niezgodność finalnej kwoty Brutto zamówienia. Oczekiwana: %1 Otrzymana: %2",module,InPost_InPostPay
"Order final Net value is incorrect. Expected: %1 Received: %2","Niezgodność finalnej kwoty Netto zamówienia. Oczekiwana: %1 Otrzymana: %2",module,InPost_InPostPay
"Order final Tax value is incorrect. Expected: %1 Received: %2","Niezgodność finalnej kwoty VAT zamówienia. Oczekiwana: %1 Otrzymana: %2",module,InPost_InPostPay
"Payment type %1 is not acceptable by merchant.","Typ płatności %1 nie jest akceptowany przez sklep sprzedawcy.",module,InPost_InPostPay
"Invalid name.","Niezgodność imienia.",module,InPost_InPostPay
"Invalid surname.","Niezgodność nazwiska.",module,InPost_InPostPay
"Invalid phone number.","Niezgodność numeru telefonu.",module,InPost_InPostPay
"Invalid mail format in: ""%1""","Niepoprawny format adresu mailoweg    o: ""%1""",module,InPost_InPostPay
"Incomplete delivery address data.","Niekompletne dane adresu dostawy.",module,InPost_InPostPay
"Incomplete billing address data.","Niekompletne dane adresu rozliczeniowego.",module,InPost_InPostPay
"Incomplete billing address city data.","Niekompletne dane miasta adresu rozliczeniowego.",module,InPost_InPostPay
"Incomplete billing address country data.","Niekompletne dane kraju adresu rozliczeniowego.",module,InPost_InPostPay
"Incomplete billing address postal code data.","Niekompletne dane kodu pocztowego adresu rozliczeniowego.",module,InPost_InPostPay
"Incomplete delivery address city data.","Niekompletne dane miasta adresu dostawy.",module,InPost_InPostPay
"Incomplete delivery address country data.","Niekompletne dane kraju adresu dostawy.",module,InPost_InPostPay
"Incomplete delivery address postal code data.","Niekompletne dane kodu pocztowego adresu dostawy.",module,InPost_InPostPay
"Incomplete invoice address data.","Niekompletne dane adresu do faktury.",module,InPost_InPostPay
"Consents validation failed. Reason: %1","Weryfikacja zgód nie przebiegła pomyślnie. Powód: %1",module,InPost_InPostPay
"Consent %1 version is not up to date. Expected: %2 Received: %3","Wersja zgody %1 jest nieaktualna. Oczekiwana: %2 Otrzymana: %3",module,InPost_InPostPay
"Consent %1 has not been accepted.","Zgoda %1 nie została zaakceptowana.",module,InPost_InPostPay
"Quote not found.","Nie znaleziono sesji koszyka.",module,InPost_InPostPay
"Invalid invoice legal form.","Niepoprawna forma prawna faktury.",module,InPost_InPostPay
"Empty Tax ID.","Pusty numer VAT.",module,InPost_InPostPay
"Empty Empty Company Name.","Pusta Nazwa Firmy.",module,InPost_InPostPay
"Delivery method %1 requires chosen point.","Metoda dostawy %1 wymaga wybranego punktu",module,InPost_InPostPay
"An error occurred during delete process. Check error logs","Wystąpił błąd podczas próby wykonania akcji usunięcia. Sprawdź logi",module,InPost_InPostPay
"Shipment Mapping Settings for Courier Delivery","Ustawienia mapowania opcji dostawy kurierem",module,InPost_InPostPay
"Shipment Mapping Settings for Pickup Delivery","Ustawienia mapowania opcji dostawy przez Paczkomat 24/7",module,InPost_InPostPay
"pcs","sztuk",module,InPost_InPostPay
"Order updated by InPost Pay:","Zamówienie zaktualizowane przez InPost Pay:",module,InPost_InPostPay
"Payment Type: %1","Typ Płatności: %1",module,InPost_InPostPay
"Payment Status: %1","Status Płatności: %1",module,InPost_InPostPay
"Payment ID: %1","ID Płatności: %1",module,InPost_InPostPay
"Payment Reference Nr: %1","Nr Referencyjny Płatności: %1",module,InPost_InPostPay
"Product is no longer available in requested quantity.","Produkt nie jest dostępny w żądanej ilości.",module,InPost_InPostPay
"Item ""%1"" is no longer available in requested quantity: %2. Currently available: %3","Produkt ""%1"" nie jest dostępny w żądanej ilości: %2. Dostępny stan: %3",module,InPost_InPostPay
"Promo code ""%1"" is invalid.","Kod rabatowy ""%1"" jest niepoprawny.",module,InPost_InPostPay
"Order contains products that cannot be shipped.","Zamówienie zawiera produkty które nie mogą zostać wysłane.",module,InPost_InPostPay
"classic","klasyczny",module,InPost_InPostPay
"small rounding","małe zaokrąglenie",module,InPost_InPostPay
"large rounding","duże zaokrąglenie",module,InPost_InPostPay
"Max widget width(value between 220 and 600)","Maksymalna szerokość widgetu(wartość pomiędzy 220 a 600)",module,InPost_InPostPay
"Widget frame corner style","Styl rogów ramki widgetu",module,InPost_InPostPay
"Problem loading the cart, please refresh the page and try again","Problem z pobraniem koszyka, odśwież stronę i spróbuj ponownie",module,InPost_InPostPay
"Something went wrong, refresh the page and try again","Coś poszło nie tak, odśwież stronę i spróbuj ponownie.",module,InPost_InPostPay
"Product ""%1"" is not available for InPost Pay.","Produktu ""%1"" nie można kupić z InPost Pay.",module,InPost_InPostPay
"Connecting to InPost Pay failed.","Nawiązanie połączenia z aplikacją InPost Pay nie powiodło się.",module,InPost_InPostPay
